ID,ZONAS VIBRA,COMUNA,Latitud,Longitud,ene.-19,feb.-19,mar.-19,abr.-19,may.-19,jun.-19,jul.-19,ago.-19,sep.-19,oct.-19,nov.-19,dic.-19,dic.-20,feb.-21,mar.-21,abr.-21
1,SKATE PARK,COMUNA 1,4.44656832,-75.23934606,0,0,0,0,0,0,0,0,0,0,0,0,100,135000,191250,247500
2,PARQUE ANDRES LOPEZ DE GALARZA,COMUNA 1,4.4393645,-75.23550977,0,0,0,0,0,0,0,0,0,0,0,0,100,157500,225000,292500
3,ZONA VIBRA BALTAZAR,COMUNA 1,4.443130023,-75.24616289,0,0,0,0,0,0,0,0,0,0,0,0,100,132000,178500,225000
4,PARQUE DE LA MUSICA,COMUNA 1,4.443259176,-75.24420261,3789,3253,1300,806,668,766,703,1259,1273,1283,1756,907,100,142000,197000,252000
5,PLAZA DE LA 14,COMUNA 1,4.440362315,-75.23998277,34091,1750,1047,905,1032,1183,1219,1171,1191,1199,1629,1104,100,180000,236250,292500
6,PLAZA BOLIVAR,COMUNA 1,4.444659634,-75.24302202,0,0,0,0,989,1265,1302,1265,1280,1292,1299,682,100,195000,266250,337500
7,PARQUE BARRIO LIBERTADOR,COMUNA 1,4.447212786,-75.2482349,0,0,0,0,731,852,867,849,900,924,926,1477,100,148000,204500,261000
8,PARQUE SANTA LIBRADA,COMUNA 1,4.442313675,-75.23910401,15152,1850,1893,1260,1254,1397,1435,1382,1392,1402,1527,856,100,130000,209000,288000
9,PLAZOLETA DARIO ECHANDIA,COMUNA 1,4.444075145,-75.24090832,0,0,0,0,0,0,0,0,0,0,0,0,100,185000,256750,328500
10,PLAZA DE LA 21,COMUNA 1,4.440298157,-75.23230034,45455,1411,1503,1009,1910,1872,1902,1721,1694,1624,1730,1245,100,185000,274750,364500
11,BARRIO LA ESTACION,COMUNA 1,4.437297145,-75.23129017,0,0,0,0,0,0,0,0,0,0,0,0,100,165000,244100,323200
12,BARRIO EDUARDO SANTOS,COMUNA 1,4.439321815,-75.23894468,37879,3973,1263,971,986,1028,1061,1033,1048,1062,1324,1095,100,145000,253750,362500
13,CHAPINERO,COMUNA 1,4.440057877,-75.23910647,0,0,0,0,0,0,0,0,0,0,0,0,100,196000,245000,294000
14,PARQUE CENTENARIO,COMUNA 2,4.447601272,-75.24264573,0,0,0,0,0,0,0,0,0,0,0,0,100,185000,231250,277500
15,ALASKA POLIDEPORTIVO,COMUNA 2,4.454663272,-75.24626873,0,0,0,0,0,0,0,0,0,0,0,0,100,175000,218750,262500
16,PARQUE DE BELEN,COMUNA 2,4.450933558,-75.24380032,13889,2686,781,1365,1195,1110,1136,1165,1181,1185,1192,696,100,190000,237500,285000
17,SANTA CRUZ,COMUNA 2,4.456383676,-75.24340729,0,0,0,0,0,0,0,0,0,0,0,0,100,175000,218750,262500
18,UNION VIVEROS,COMUNA 3,4.444806246,-75.22072947,0,0,0,0,0,0,0,0,0,0,0,0,100,165000,206250,247500
19,PARQUE LA ESPERANZA,COMUNA 3,4.444290658,-75.22642841,0,0,0,0,0,0,0,0,0,0,0,0,100,192000,240000,288000
20,BARRIO EL CARMEN,COMUNA 3,4.443149658,-75.22748841,0,0,0,0,0,0,0,0,0,0,0,0,100,183200,229000,274800
21,PARQUE ONZAGA,COMUNA 4,4.444367273,-75.20818808,0,0,0,0,0,0,0,0,0,0,0,0,100,172000,215000,258000
22,BARRIO GAITAN,COMUNA 4,4.444656001,-75.21474909,16415,13982,888,1586,1329,1513,2384,1423,1436,1454,1014,791,100,162500,203150,243800
23,BARRIO SAN LUIS,COMUNA 4,4.44538,-75.20953,0,0,0,0,0,0,0,0,0,0,0,0,100,173000,302750,432500
24,JORDAN 7 ETAPA,COMUNA 5,4.44402,-75.19201,0,0,0,0,0,0,0,0,0,0,0,0,100,192000,240000,288000
25,MACADAMIA,COMUNA 5,4.440832,-75.201812,0,0,0,0,0,0,0,0,0,0,0,0,100,178200,222750,267300
26,JORDAN 9 ETAPA,COMUNA 5,4.443239,-75.199283,0,0,0,0,0,0,0,0,0,0,0,0,100,142800,178500,214200
27,JORDAN 8 ETAPA,COMUNA 5,4.441285,-75.19393,0,0,0,0,0,0,0,0,0,0,0,0,100,153800,192250,230700
28,BARRIO EL TRIUNFO,COMUNA 6,4.459674,-75.202799,31567,6551,910,2006,1163,1271,1317,1248,1270,1284,1330,1119,100,183500,229400,275300
29,BARRIO CIRUELOS,COMUNA 6,4.457896,-75.201426,11364,3070,1042,988,1030,1268,1304,1225,1306,1326,1458,925,100,164200,205250,246300
30,BARRIO LOS ANGELES,COMUNA 6,4.4552988,-75.20364525,0,0,0,0,0,0,0,0,0,0,0,0,100,184300,230400,276500
31,SAN ANTONIO- EL OASIS,COMUNA 4,4.45015,-75.20671,15152,3000,2549,862,868,962,996,993,1010,1036,1750,1239,100,164800,206000,247200
32,PARQUE SALADO,COMUNA 7,4.449324,-75.145102,10102,2981,971,971,1357,1384,1420,1303,1306,1312,1693,1190,100,192300,240400,288500
33,PLAZA DEL SALADO,COMUNA 7,4.449955,-75.145612,0,0,0,0,0,0,0,0,0,0,0,0,100,195200,244000,292800
34,VILLA CLARA SALADO,COMUNA 7,4.45092,-75.1407,31567,2112,1272,1578,1042,1134,1126,1291,1298,1314,1043,927,100,182600,228250,273900
35,BARRIO NAZARETH 2 POLIDEPORTIVO,COMUNA 7,4.452786,-75.1292,35353,13134,914,1063,687,799,845,879,901,1720,1044,915,100,185400,231750,278100
36,BARRIO SANTA CATALINA 2,COMUNA 7,4.454166667,-75.12861111,0,0,0,0,632,802,830,814,852,861,868,1307,100,167400,209250,251100
37,BARRIO NAZARETH 1,COMUNA 7,4.45323,-75.13093,36617,2275,2908,2362,1266,1987,2589,1713,1694,1684,1691,1354,100,135200,169000,202800
38,BARRIO MODELIA,COMUNA 7,4.4511654,-75.134308,23990,11229,1286,2271,2105,2181,1115,1891,1691,1779,1293,839,100,165000,206250,247500
39,LA CEIBITA,COMUNA 7,4.453799,-75.127556,22727,1152,1389,1297,838,822,889,887,908,916,1287,999,100,172000,215000,258000
40,PARQUE ALAMOS,COMUNA 7,4.4555331,-75.1321957,0,0,0,0,0,0,0,0,0,0,0,0,100,180000,225000,270000
41,PARQUE SAN LUIS GONZAGA,COMUNA 7,4.4500385,-75.1635258,0,0,0,0,0,0,0,0,0,0,0,0,100,165300,206650,248000
42,PEDRO VILLAMARIN,COMUNA 7,4.448147,-75.156495,0,0,0,0,0,0,0,0,0,0,0,0,100,145600,182000,218400
43,PARQUE CHICO,COMUNA 7,4.452501,-75.135354,0,0,0,0,0,0,0,0,0,0,0,0,100,163900,204900,245900
44,PARQUE SAN PABLO,COMUNA 7,4.448702,-75.160117,0,0,0,0,0,0,0,0,0,0,0,0,100,182500,228150,273800
45,PARQUE NUEVA CASTILLA,COMUNA 8,4.43561,-75.15984,0,0,0,0,598,792,823,1781,1649,1665,1678,1154,100,172600,215750,258900
46,PLAZA DEL JARDIN,COMUNA 8,4.44366,-75.17424,18939,2601,632,914,1991,1758,1791,1640,1630,1640,964,640,100,196000,245000,294000
47,TULIO VARON,COMUNA 8,4.4369444,-75.177777,0,0,0,0,0,0,0,0,0,0,0,0,100,187400,234250,281100
48,SIMON BOLIVAR,COMUNA 8,4.4346667,-75.1741767,0,0,0,0,0,0,0,0,0,0,0,0,100,184900,231150,277400
49,PARQUE PROTECHO TOPACIO,OTROS,4.364219,-75.16208027,0,0,0,0,0,0,0,0,0,0,0,0,100,178500,223150,267800
50,PARQUE VIBRA PALERMO,OTROS,4.353316,-75.185685,0,0,0,0,0,0,0,0,0,0,0,0,100,162800,203500,244200
51,TOLIMA GRANDE,COMUNA 8,4.43942,-75.17048,0,0,0,0,0,0,0,0,0,0,0,0,100,156900,196150,235400
52,RINCON DE LAS AMERICAS,COMUNA 9,4.40822,-75.14407,32827,1556,1892,634,1832,1768,1804,1741,1796,1685,1546,1053,100,148900,186150,223400
53,SECTOR PICALE��A,COMUNA 9,4.3988812,-75.1439158,15152,1449,1001,1197,865,980,1036,935,1716,1736,1685,1075,100,162900,203600,244300
54,BARRIO JORDAN PRIMERA ETAPA,COMUNA 9,4.434768,-75.198938,23990,14936,2767,2573,1045,2305,1420,1630,1778,1689,1341,1123,100,153600,192000,230400
55,PARQUE SANTA RITA,COMUNA 9,4.408725,-75.15322778,0,0,0,0,0,0,0,0,0,0,0,0,100,182900,228650,274400
56,PARQUE CIUDADELA COMFENALCO,COMUNA 9,4.406855556,-75.15606944,0,0,0,0,658,765,804,751,763,778,782,403,100,148900,186150,223400
57,BARRIO JORDAN SEGUNDA ETAPA,COMUNA 9,4.435565,-75.196394,0,0,0,0,0,0,0,0,0,0,0,0,100,137600,172000,206400
58,BARRIO JORDAN TERCERA ETAPA,COMUNA 9,4.436981,-75.194425,0,0,0,0,0,0,0,0,0,0,0,0,100,142400,178000,213600
59,BARRIO BELLO HORIZONTE Y BARRIO SANTARITA,COMUNA 9,4.405467,-75.160127,0,0,0,0,0,0,0,0,0,0,0,0,100,153800,192250,230700
60,PARQUE BOCANEME,COMUNA 9,4.435292,-75.194279,17677,4073,858,1262,807,1865,1053,1588,1862,1760,761,428,100,148900,186150,223400
61,PARQUE DEPORTIVO,COMUNA 8,4.425165,-75.183072,0,0,0,0,0,0,0,0,0,0,0,0,100,189600,331800,474000
62,PARQUE EL MOHAN,COMUNA 10,4.43279,-75.22751,51767,1465,1404,1131,1256,1180,1202,1254,1261,1273,1190,698,100,189000,330750,472500
63,PLAZA DE LA 28,COMUNA 10,4.43789,-75.22412,27778,2064,809,903,1582,1469,1494,1498,1508,1521,1630,1193,100,190600,333550,476500
64,PARQUE LINEAL  AV. FERROCARRIL,COMUNA 10,4.43457,-75.216,0,0,0,0,0,0,0,0,0,0,0,0,100,168000,210000,252000
65,BARRIO SANTANDER,COMUNA 10,4.43074,-75.21716,31564,3992,1169,803,897,937,90,933,989,1007,1322,1090,100,158600,277550,396500
66,BARRIO HIPODROMO,COMUNA 10,4.43753,-75.225124,0,0,0,0,0,0,0,0,0,0,0,0,100,173600,217000,260400
67,EL BOSQUE PARTE BAJA,COMUNA 11,4.42638,-75.22239,0,0,0,0,0,0,0,0,0,0,0,0,100,185900,325350,464800
68,LA CARTAGENA,COMUNA 12,4.424987,-75.2334,0,0,0,0,0,0,0,0,0,0,0,0,100,178900,313100,447300
69,VILLA DEL RIO,COMUNA 11,4.425,-75.230833,0,0,0,0,0,0,0,0,0,0,0,0,100,140600,175750,210900
70,REFUGIO 2,COMUNA 11,4.4277185,-75.2337347,0,0,0,0,0,0,0,0,0,0,0,0,100,135000,168750,202500
71,REFUGIO 1,COMUNA 11,4.42786,-75.23356,0,0,0,0,0,0,0,0,0,0,0,0,100,136000,170000,204000
72,BARRIO AMERICA-CEMENTERIO,OTROS,4.430084444,-75.1330815,75758,2532,1122,1001,797,985,999,936,949,954,842,591,100,142600,178250,213900
73,ESTADIO MURILLO TORO,COMUNA 10,4.430623,-75.217177,0,0,0,0,0,0,0,0,0,0,0,0,100,189600,265450,341300
74,EL BOSQUE PARTE ALTA,COMUNA 11,4.4280042,-75.2205594,5051,2920,1299,1269,780,875,921,897,949,956,1752,1286,100,176800,221000,265200
75,MARTIRES,COMUNA 11,4.42893,-75.21691,0,0,0,0,0,0,0,0,0,0,0,0,100,162500,203150,243800
76,REFUGIO SECTOR MARTINICA,COMUNA 11,4.4277185,-75.2337347,23989,1358,1913,1308,766,808,863,810,824,830,918,1385,100,158900,198650,238400
77,ROSA BADILLO,COMUNA 12,4.42846,-75.23863,0,0,0,0,0,0,0,0,0,0,0,0,100,162600,317050,471500
78,EL PE��ON,COMUNA 11,4.4302058,-75.2275776,0,0,0,0,0,0,0,0,0,0,0,0,100,136000,170000,204000
79,BARRIO SAN JOSE,COMUNA 11,4.43515,-75.23814,20207,1630,2504,782,691,730,798,1817,1520,1534,1796,1377,100,131000,163750,196500
80,PARQUE MITOS Y LEYENDAS,COMUNA 12,4.433258333,-75.240425,0,0,0,0,0,0,0,0,0,0,0,0,100,182000,273000,364000
81,PARQUE BARRIO YULDAIMA,COMUNA 12,4.433468,-75.239004,15152,1151,736,1078,599,1054,1534,1466,1473,1484,920,666,100,145200,239600,334000
82,BARRIO LA MATALLANA,COMUNA 12,4.438679,-75.242057,15152,3155,1711,1266,853,1009,2301,1012,1032,1043,1244,746,100,139600,174500,209400
83,DIVINO NI��O,COMUNA 12,4.425901,-75.237293,0,0,0,0,0,0,0,0,0,0,0,0,100,172600,215750,258900
84,VILLA LUCES,COMUNA 12,4.4269444,-75.24277,0,0,0,0,0,0,0,0,0,0,0,0,100,168900,211150,253400
85,COLONIAS ASPROVI,COMUNA 12,4.4358333,-75.245277,0,0,0,0,0,0,0,0,0,0,0,0,100,162500,203150,243800
86,MURILLO TORO,COMUNA 1,4.444802,-75.241394,0,0,0,0,0,0,0,0,0,0,0,0,100,182800,319900,457000
87,VILLA RICAURTE,COMUNA 12,4.42856,-75.246273,0,0,0,0,0,0,0,0,0,0,0,0,100,142000,177500,213000
88,PARQUE DANUBIO,COMUNA 12,4.431694,-75.241917,7577,2630,988,644,955,1106,1161,1144,1171,1182,1203,709,100,145000,181250,217500
89,SAN ISIDRO,COMUNA 13,4.426023,-75.255377,0,0,0,0,0,0,0,0,0,0,0,0,100,138600,173250,207900
90,BARRIO FLORIDA,COMUNA 13,4.415775,-75.250803,37878,4098,1590,855,987,1088,2485,2003,1730,1749,1072,827,100,135600,169500,203400
91,BARRIO BOQUERON,COMUNA 13,4.41262,-75.263763,0,0,0,0,0,0,0,0,0,0,0,0,100,178600,312550,446500
92,DANTAS,OTROS,4.348209,-75.38695,0,0,0,0,0,0,0,0,0,0,0,0,100,178900,223650,268400
93,LAURELES,OTROS,4.370416,-75.36384,0,0,0,0,0,0,0,0,0,0,0,0,100,185000,231250,277500
94,VEREDA PUERTO COCORA,OTROS,4.39598,-75.30447,0,0,0,0,0,0,0,0,0,0,0,0,100,135800,169750,203700
95,VEREDA ALTAMIRA - RESGUARDO LA COMUNIDAD INDIGENA AGUAS FRIAS,OTROS,4.364177778,-75.211402,0,0,0,0,366,690,710,749,866,882,884,566,100,136900,171150,205400
96,VEREDA COELLO - COCORA,OTROS,4.401430556,-75.28825833,0,0,0,0,757,997,946,995,1017,1036,1038,794,100,142500,178150,213800
97,TAPIAS,OTROS,4.454424,-75.350203,30304,2721,935,788,785,898,943,916,962,976,1485,967,100,185600,232000,278400
98,TOCHE,OTROS,4.520054039,-75.40918719,0,0,0,0,0,0,0,0,0,0,0,0,100,167000,233800,300600
99,TOCHE,OTROS,4.53039,-75.44666,16415,2982,982,977,865,952,994,937,883,891,617,489,100,183900,266650,349400
100,TOCHE,OTROS,4.56436,-75.40417,0,0,0,0,0,0,0,0,0,0,0,0,100,187900,234900,281900
101,TOCHE,OTROS,4.31109,-75.24333,0,0,0,0,0,0,0,0,0,0,0,0,100,165200,206500,247800
102,TOCHE,OTROS,4.520153781,-75.40917932,0,0,0,0,0,0,0,0,0,0,0,0,100,182600,228250,273900
103,CERRO MACHIN,OTROS,4.488163889,-75.234606,0,0,0,0,323,496,521,519,555,578,577,300,100,176900,221150,265400
104,SECTOR DE JUNTAS (CA��ON DEL COMBEIMA),OTROS,4.3338,-75.1921,0,0,0,0,0,0,0,0,0,0,0,0,100,174300,260600,346900
105,VILLA RESTREPO,OTROS,4.52488,-75.3108,56816,2038,874,866,496,531,577,555,600,614,937,717,100,164300,236600,308900
106,LLANITOS,OTROS,4.489707,-75.285913,30302,4498,1910,1070,1028,1200,1236,1208,1269,1286,1281,923,100,182500,252750,323000
107,PASTALES PARTE BAJA,OTROS,4.509256,-75.299368,0,0,0,0,0,0,0,0,0,0,0,0,100,180200,260400,340600
108,LA PLATICA,OTROS,4.488715,-75.285542,0,0,0,0,0,0,0,0,0,0,0,0,100,176200,204400,232600
109,ASTILLEROS,OTROS,4.4670563,-75.2776566,0,0,0,0,0,0,0,0,0,0,0,0,100,178000,186900,195800
110,CAY CASCADA,OTROS,4.465245,-75.259908,0,0,0,0,0,0,0,0,0,0,0,0,100,164200,200300,236400
111,CAY CASCADA  ESCUELA,OTROS,4.487493,-75.24536,0,0,0,0,0,0,0,0,0,0,0,0,100,178900,208450,238000
112,VEREDA CAY PARTE BAJA,COMUNA 5,4.44406,-75.1921,0,0,0,0,0,0,0,0,0,0,0,0,100,180000,250200,320400
113,TOTUMO - RODEO ZONA SALITRE,OTROS,4.390527778,-75.203465,0,0,0,0,680,660,900,856,910,924,930,600,100,176200,220250,264300
114,EL RODEO,OTROS,4.3602778,-75.190555,0,0,0,0,0,0,0,0,0,0,0,0,100,169400,211750,254100
115,VEREDA CHUCUNI,OTROS,4.464366,-75.058306,,0,0,0,0,0,0,0,0,0,0,0,0,65050,130000,216450
116,VEREDA CHUCUNI,OTROS,4.464334,-75.05837,50506,3170,803,796,796,848,897,899,920,927,967,734,100,178000,295500,413000
117,VEREDA BERLIN CA��ON COMBEIMA,OTROS,4.475752,-75.27935,29042,5054,780,544,707,873,902,867,897,919,982,787,100,180000,269100,358200
118,SAN JUAN DE LA CHINA PARQUE PRINCIPAL,OTROS,4.54142,-75.07628,0,0,0,0,0,0,0,0,0,0,0,0,100,173200,216500,259800
119,VEREDA LA COQUETA,COMUNA 1,4.454645496,-75.25156292,0,0,0,0,0,0,0,0,0,0,0,0,100,163200,204000,244800
120,VEREDA EL CURAL - LA TIGRERA,OTROS,4.4182644,-75.2796184,0,0,0,0,0,0,0,0,0,0,0,0,100,172000,215000,258000
121,VEREDA SAN FRANCISCO,OTROS,4.400797,-75.272952,0,0,0,0,0,0,0,0,0,0,0,0,100,165200,206500,247800
122,VEREDA AURES DE SAN JUAN DE LA CHINA,OTROS,4.530640474,-75.07494214,0,0,0,0,0,0,0,0,0,0,0,0,100,178200,245900,313600
123,BUENOS AIRES,OTROS,4.331913,-75.082526,0,0,0,0,0,0,0,0,0,0,0,0,100,174200,217750,261300
124,VEREDA CALAMBEO,COMUNA 3,4.463915959,-75.22316732,0,0,0,0,0,0,0,0,0,0,0,0,100,178900,223650,268400
125,VEREDA ANCON TESORITO,OTROS,4.475961,-75.224778,0,0,0,0,0,0,0,0,0,0,0,0,100,167200,209000,250800
126,RETIRO RESBALON,OTROS,4.515908,-75.293487,0,0,0,0,0,0,0,0,0,0,0,0,100,178000,234950,291900
127,WIFI EN EL SECTOR DE SINAI,OTROS,4.5052683,-75.133,0,0,0,0,0,0,0,0,0,0,0,0,100,165800,207250,248700
128,VEREDA COLEGIO SECTOR SINAI,COMUNA 1,4.440663,-75.244141,0,0,0,0,0,0,0,0,0,0,0,0,100,170000,212500,255000
129,CARRIZALES,OTROS,4.48949,-75.144357,0,0,0,0,0,0,0,0,0,0,0,0,100,152900,267600,382300
130,SECTOR RURAL VDA FLOR,OTROS,4.483333,-75.103889,17678,5088,1302,2403,943,2091,1545,1605,1816,1681,1758,1218,100,174900,185400,195900
131,LOS TUNELES BOQUERON,OTROS,4.414478,-75.269565,0,0,0,0,0,0,0,0,0,0,0,0,100,168900,213650,258400
132,LA LOMA,OTROS,4.38546,-75.3127,0,0,0,0,0,0,0,0,0,0,0,0,100,170000,220150,270300
133,LA MARIA PARTE BAJA KM 9- VILLA RESTREPO CA��ON DEL COMBEIMA,COMUNA 7,4.44634,-75.16136,,,,,,,,,,,,,,,,
134,RAMOS Y ASTILLEROS,OTROS,4.4670563,-75.2776566,0,0,0,0,0,0,0,0,0,0,0,0,100,184500,230650,276800
135,SECTOR LA VEGA - VEREDA LA FLOR,OTROS,4.48211,-75.10727,0,0,0,0,0,0,0,0,0,0,0,0,100,172500,226850,281200
136,SAN BERNARDO PARQUE PRINCIPAL,OTROS,4.2946,-75.433,0,0,0,0,0,0,0,0,0,0,0,0,100,170000,188700,207400
137,VEREDA LA MARIA EL SALADO Y DEMAS VEREDAS,OTROS,4.44634,-75.516136,0,0,0,0,0,0,0,0,0,0,0,0,100,165200,206500,247800
138,ALTOS DE GUALANDAY,OTROS,4.299446,-75.048497,2526,1649,2274,956,550,713,752,732,745,752,1414,869,100,168900,211150,253400
139,BRICE��O,OTROS,4.29397,-75.03446,84594,3635,981,808,1264,1364,2767,1290,1316,1333,901,587,100,145300,181650,218000
140,VEREDA APARCO I.E. FERNANDO VILLALOBOS ARANGO,OTROS,4.356494,-75.15212,0,0,0,0,0,0,0,0,0,0,0,0,100,142600,178250,213900
141,VEREDA MARTINICA MEDIA ALTA,OTROS,4.3873281,-75.2179625,0,0,0,0,0,0,0,0,0,0,0,0,100,146200,182750,219300
142,SAN JUAN DE LA CHINA LA ISABELLA,OTROS,4.542125,-75.075797,0,0,0,0,0,0,0,0,0,0,0,0,100,178000,228750,279500
143,VEREDA LLANO DEL COMBEIMA,OTROS,4.3327107,-75.1619885,0,0,0,0,0,0,0,0,0,0,0,0,100,172000,215000,258000
144,EL SALTO,OTROS,4.621818703,-75.27683488,0,0,0,0,0,0,0,0,0,0,0,0,100,156500,195650,234800
145,VEREDA EL SECRETO,OTROS,4.505706067,-75.30437399,0,0,0,0,0,0,0,0,0,0,0,0,100,143000,178750,214500
146,VEREDA PICO DE ORO,OTROS,4.51107,-75.30042,0,0,0,0,0,0,0,0,0,0,0,0,100,132000,165000,198000
147,BARRIO URIBE,COMUNA 11,4.4247921,-75.2171766,0,0,0,0,0,0,0,0,0,0,0,0,100,130000,162500,195000
148,SAN VICENTE DE PAUL,COMUNA 11,4.430219,-75.232222,0,0,0,0,0,0,0,0,0,0,0,0,100,132000,174900,217800
149,EL RUBY SAN JUAN DE LA CHINA,OTROS,4.527586553,-75.09349249,0,0,0,0,0,0,0,0,0,0,0,0,100,154000,186350,218700
150,CHINA ALTA,OTROS,4.53712,-75.15971,0,0,0,0,0,0,0,0,0,0,0,0,100,160000,229400,298800